Name,MapDate,DSCI
Midwest,20011211,3
Midwest,20011218,1
Midwest,20011225,4
Midwest,20020101,6
Midwest,20020108,10
Midwest,20020115,11
Midwest,20020122,10
Midwest,20020129,17
Midwest,20020205,18
Midwest,20020212,19
Midwest,20020219,19
Midwest,20020226,22
Midwest,20020305,22
Midwest,20020312,23
Midwest,20020319,21
Midwest,20020326,19
Midwest,20020402,18
Midwest,20020409,22
Midwest,20020416,25
Midwest,20020423,17
Midwest,20020430,13
Midwest,20020507,11
Midwest,20020514,1
Midwest,20020521,0
Midwest,20020528,3
Midwest,20020604,6
Midwest,20020611,3
Midwest,20020618,4
Midwest,20020625,2
Midwest,20020702,12
Midwest,20020709,14
Midwest,20020716,26
Midwest,20020723,52
Midwest,20020730,60
Midwest,20020806,67
Midwest,20020813,72
Midwest,20020820,46
Midwest,20020827,42
Midwest,20020903,53
Midwest,20020910,70
Midwest,20020917,73
Midwest,20020924,70
Midwest,20021001,63
Midwest,20021008,53
Midwest,20021015,55
Midwest,20021022,48
Midwest,20021029,44
Midwest,20021105,48
Midwest,20021112,43
Midwest,20021119,49
Midwest,20021126,50
Midwest,20021203,60
Midwest,20021210,71
Midwest,20021217,75
Midwest,20021224,73
Midwest,20021231,80
Midwest,20030107,103
Midwest,20030114,112
Midwest,20030121,132
Midwest,20030128,133
Midwest,20030204,132
Midwest,20030211,132
Midwest,20030218,126
Midwest,20030225,130
Midwest,20030304,133
Midwest,20030311,134
Midwest,20030318,153
Midwest,20030325,157
Midwest,20030401,129
Midwest,20030408,110
Midwest,20030415,128
Midwest,20030422,117
Midwest,20030429,126
Midwest,20030506,74
Midwest,20030513,28
Midwest,20030520,27
Midwest,20030527,25
Midwest,20030603,24
Midwest,20030610,19
Midwest,20030617,28
Midwest,20030624,57
Midwest,20030701,26
Midwest,20030708,20
Midwest,20030715,17
Midwest,20030722,22
Midwest,20030729,30
Midwest,20030805,31
Midwest,20030812,52
Midwest,20030819,83
Midwest,20030826,121
Midwest,20030902,101
Midwest,20030909,134
Midwest,20030916,120
Midwest,20030923,119
Midwest,20030930,113
Midwest,20031007,106
Midwest,20031014,102
Midwest,20031021,106
Midwest,20031028,111
Midwest,20031104,97
Midwest,20031111,96
Midwest,20031118,96
Midwest,20031125,92
Midwest,20031202,90
Midwest,20031209,88
Midwest,20031216,80
Midwest,20031223,79
Midwest,20031230,78
Midwest,20040106,74
Midwest,20040113,72
Midwest,20040120,71
Midwest,20040127,71
Midwest,20040203,63
Midwest,20040210,61
Midwest,20040217,61
Midwest,20040224,59
Midwest,20040302,60
Midwest,20040309,49
Midwest,20040316,48
